,tenure,warehouse_to_home,num_devices_registered,satisfaction_score,num_addresses,days_since_last_order,cashback_amount,has_complained,days_missing_flag,tenure_missing_flag,churn
tenure,1.0,-0.015211326885190068,-0.014869029952630326,-0.031640312523120655,0.23752693263423544,0.12264306092660264,0.4999070621925573,-0.017088324778501154,0.058882742334371956,-0.2521849816737567,-0.34436809905867843
warehouse_to_home,-0.015211326885190068,1.0,0.019089864870960132,0.0074840093511784255,-0.00807905052986961,0.014875417922488175,0.001987942503555826,0.04482288504380358,0.007792819472419728,-0.028151108496408807,0.06788710095584406
num_devices_registered,-0.014869029952630326,0.019089864870960132,1.0,-0.010991269257736436,0.07643733771747906,0.09312349096330175,0.1201362940028002,0.0053382589384650845,0.09539822041824575,-0.09787600095468586,0.10961178312674891
satisfaction_score,-0.031640312523120655,0.0074840093511784255,-0.010991269257736436,1.0,0.04244948357465172,-0.008850890817906482,0.0064992103400321275,-0.03516704388441456,-0.023742590273618247,0.01287919901311798,0.09839267058093054
num_addresses,0.23752693263423544,-0.00807905052986961,0.07643733771747906,0.04244948357465172,1.0,0.03337899674993113,0.18662283580531983,-0.011489525238987042,0.05794978630019619,-0.0890039892936438,0.046353613233933014
days_since_last_order,0.12264306092660264,0.014875417922488175,0.09312349096330175,-0.008850890817906482,0.03337899674993113,1.0,0.31588553992657775,-0.028747385858988596,0.9378688185439746,-0.10425910510870336,-0.048367362484091556
cashback_amount,0.4999070621925573,0.001987942503555826,0.1201362940028002,0.0064992103400321275,0.18662283580531983,0.31588553992657775,1.0,-0.0020403747664375135,0.21386983472418394,-0.2622781634443119,-0.15147458911430522
has_complained,-0.017088324778501154,0.04482288504380358,0.0053382589384650845,-0.03516704388441456,-0.011489525238987042,-0.028747385858988596,-0.0020403747664375135,1.0,-0.011830173440262564,-0.0096573108829118,0.2622778962262899
days_missing_flag,0.058882742334371956,0.007792819472419728,0.09539822041824575,-0.023742590273618247,0.05794978630019619,0.9378688185439746,0.21386983472418394,-0.011830173440262564,1.0,-0.05490477676421053,0.0015998946138893817
tenure_missing_flag,-0.2521849816737567,-0.028151108496408807,-0.09787600095468586,0.01287919901311798,-0.0890039892936438,-0.10425910510870336,-0.2622781634443119,-0.0096573108829118,-0.05490477676421053,1.0,0.08388004309260128
churn,-0.34436809905867843,0.06788710095584406,0.10961178312674891,0.09839267058093054,0.046353613233933014,-0.048367362484091556,-0.15147458911430522,0.2622778962262899,0.0015998946138893817,0.08388004309260128,1.0
